"num","units"
NA,""
NA,""
NA,""
NA,""
NA,""
3,"Day"
3,"Day"
4,"Day"
1,"Week"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
8,"Month"
NA,""
NA,""
2,"Week"
2,"Week"
3,"Day"
1,"Week"
NA,""
2,"Week"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
22,"Day"
NA,""
2,"Week"
NA,""
NA,""
1,"Month"
NA,""
NA,""
5,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
30,"Day"
30,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
21,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
1,"Week"
1,"Week"
NA,""
NA,""
NA,""
25,"Day"
NA,""
NA,""
20,"Day"
27,"Day"
30,"Day"
NA,""
22,"Day"
NA,""
4,"Day"
NA,""
NA,""
15,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
2,"Week"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
2,"Week"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
2,"Week"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
3,"Day"
NA,""
19,"Day"
19,"Day"
27,"Day"
29,"Day"
31,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
14,"Day"
129,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
15,"Day"
NA,""
15,"Day"
NA,""
NA,""
16,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
14,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
7,"Day"
14,"Day"
NA,""
NA,""
30,"Day"
30,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
13,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
9,"Week"
NA,""
NA,""
13,"Day"
NA,""
NA,""
1,"Month"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
3,"Week"
NA,""
NA,""
NA,""
NA,""
2,"Week"
NA,""
2,"Week"
NA,""
NA,""
NA,""
17,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
4,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
65,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
10,"Day"
10,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
33,"Day"
NA,""
NA,""
NA,""
1,"Month"
1,"Month"
NA,""
NA,""
NA,""
NA,""
1,"Month"
NA,""
NA,""
1,"Month"
NA,""
71,"Day"
NA,""
1,"Month"
NA,""
1,"Month"
NA,""
NA,""
NA,""
9,"Day"
58,"Day"
NA,""
3,"Day"
NA,""
2,"Week"
NA,""
NA,""
NA,""
13,"Day"
NA,""
NA,""
NA,""
NA,""
6,"Day"
2,"Week"
NA,""
NA,""
NA,""
NA,""
NA,""
1,"Month"
1,"Month"
80,"Day"
3,"Month"
2,"Week"
NA,""
NA,""
NA,""
2,"Week"
NA,""
12,"Day"
1,"Week"
1,"Week"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
1,"Week"
NA,""
NA,""
16,"Day"
17,"Day"
NA,""
1,"Week"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
2,"Week"
NA,""
3,"Week"
NA,""
NA,""
NA,""
NA,""
23,"Day"
NA,""
NA,""
NA,""
NA,""
34,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
1,"Week"
NA,""
1,"Week"
7,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
7,"Day"
NA,""
NA,""
133,"Day"
NA,""
NA,""
29,"Day"
NA,""
30,"Day"
NA,""
NA,""
1,"Month"
1,"Month"
1,"Month"
28,"Day"
42,"Day"
13,"Day"
NA,""
NA,""
6,"Day"
66,"Day"
7,"Day"
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
NA,""
2,"Week"
NA,""
NA,""
